mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,label,mfcc_13
-566.9641723632812,93.22382354736328,-12.903730392456056,-1.886694073677063,-5.6423115730285645,-11.275890350341797,4.557010173797607,0.9793499112129213,-14.132587432861328,-9.15635585784912,-6.065807819366455,-11.815648078918455,-6.713069915771484,
-538.5123901367188,86.10037231445312,-17.458864212036133,-9.955921173095703,-9.405153274536133,-8.035759925842285,2.680769920349121,3.520005702972412,-12.046732902526855,-8.686521530151367,-5.073322772979736,-8.643549919128418,-4.8718438148498535,
-571.7442016601562,93.2776107788086,-8.991927146911621,-3.670778274536133,-8.68765640258789,-9.74435329437256,3.3392558097839355,1.252814769744873,-14.737947463989258,-7.5184645652771,-7.971975326538086,-9.170062065124512,-5.657299995422363,
-583.8545532226562,96.03445434570312,-17.763565063476562,-10.965357780456545,-3.022966384887696,-11.30484104156494,-2.242262601852417,2.025914430618286,-10.953181266784668,-5.565777778625488,-7.7266130447387695,-8.163764953613281,-8.518095970153809,
-489.618408203125,72.1875,-14.174771308898926,-4.2382354736328125,-1.6642833948135376,-9.408239364624023,-2.776766300201416,2.634493112564087,-0.3706865906715393,-1.5705571174621582,-8.0413236618042,-8.315131187438965,-10.971671104431152,
-556.4722900390625,102.19620513916016,-10.767395973205566,-5.4651079177856445,-5.131188869476318,-6.495540142059326,-2.49002742767334,5.621847152709961,-9.896992683410645,-9.32076358795166,-13.717737197875977,-13.039499282836914,-17.599884033203125,
-566.9641723632812,93.22382354736328,-12.903730392456056,-1.886694073677063,-5.6423115730285645,-11.275890350341797,4.557010173797607,0.9793499112129213,-14.132587432861328,-9.15635585784912,-6.065807819366455,-11.815648078918455,-6.713069915771484,
-538.5123901367188,86.10037231445312,-17.458864212036133,-9.955921173095703,-9.405153274536133,-8.035759925842285,2.680769920349121,3.520005702972412,-12.046732902526855,-8.686521530151367,-5.073322772979736,-8.643549919128418,-4.8718438148498535,
-571.7442016601562,93.2776107788086,-8.991927146911621,-3.670778274536133,-8.68765640258789,-9.74435329437256,3.3392558097839355,1.252814769744873,-14.737947463989258,-7.5184645652771,-7.971975326538086,-9.170062065124512,-5.657299995422363,
-583.8545532226562,96.03445434570312,-17.763565063476562,-10.965357780456545,-3.022966384887696,-11.30484104156494,-2.242262601852417,2.025914430618286,-10.953181266784668,-5.565777778625488,-7.7266130447387695,-8.163764953613281,-8.518095970153809,
-489.618408203125,72.1875,-14.174771308898926,-4.2382354736328125,-1.6642833948135376,-9.408239364624023,-2.776766300201416,2.634493112564087,-0.3706865906715393,-1.5705571174621582,-8.0413236618042,-8.315131187438965,-10.971671104431152,
-477.2436218261719,112.52195739746094,-27.04312324523925,-9.078852653503418,-6.616583347320557,-12.606736183166504,-2.795296669006348,16.258947372436523,-15.65731143951416,-10.966073036193848,-6.830995559692383,-16.273372650146484,-15.870795249938965,
-556.4722900390625,102.19620513916016,-10.767395973205566,-5.4651079177856445,-5.131188869476318,-6.495540142059326,-2.49002742767334,5.621847152709961,-9.896992683410645,-9.32076358795166,-13.717737197875977,-13.039499282836914,-17.599884033203125,
-330.28778076171875,71.26873016357422,-3.3042123317718506,24.63663101196289,-6.697043418884277,-8.563797950744629,-11.961878776550291,0.0490843094885349,-6.615994930267334,1.0370036363601685,-6.780818462371826,-5.525290012359619,0.0,-8.425493240356445
-296.2687683105469,103.6917495727539,-2.6043832302093506,3.779949903488159,-10.139516830444336,-6.309548377990723,-0.6268283128738403,-26.920869827270508,-7.139608860015869,-19.912784576416016,-6.717271327972412,-10.738701820373535,1.0,-4.595378398895264
-566.9641723632812,93.22382354736328,-12.903730392456056,-1.886694073677063,-5.6423115730285645,-11.275890350341797,4.557010173797607,0.9793499112129213,-14.132587432861328,-9.15635585784912,-6.065807819366455,-11.815648078918455,-6.713069915771484,
-538.5123901367188,86.10037231445312,-17.458864212036133,-9.955921173095703,-9.405153274536133,-8.035759925842285,2.680769920349121,3.520005702972412,-12.046732902526855,-8.686521530151367,-5.073322772979736,-8.643549919128418,-4.8718438148498535,
-571.7442016601562,93.2776107788086,-8.991927146911621,-3.670778274536133,-8.68765640258789,-9.74435329437256,3.3392558097839355,1.252814769744873,-14.737947463989258,-7.5184645652771,-7.971975326538086,-9.170062065124512,-5.657299995422363,
-583.8545532226562,96.03445434570312,-17.763565063476562,-10.965357780456545,-3.0229663848876958,-11.30484104156494,-2.242262601852417,2.025914430618286,-10.953181266784668,-5.565777778625488,-7.7266130447387695,-8.163764953613281,-8.518095970153809,
-489.618408203125,72.1875,-14.174771308898926,-4.2382354736328125,-1.6642833948135376,-9.408239364624023,-2.776766300201416,2.634493112564087,-0.3706865906715393,-1.5705571174621582,-8.0413236618042,-8.315131187438965,-10.971671104431152,
-438.6261291503906,102.6370620727539,-34.33678436279297,5.988839149475098,-17.987226486206055,-17.174776077270508,0.3010537028312683,10.03509521484375,-21.44929313659668,-8.78235912322998,-5.676547050476074,-10.14108657836914,-11.64155101776123,
-477.2436218261719,112.52195739746094,-27.043123245239254,-9.078852653503418,-6.616583347320557,-12.606736183166504,-2.795296669006348,16.258947372436523,-15.65731143951416,-10.966073036193848,-6.830995559692383,-16.273372650146484,-15.870795249938965,
-556.4722900390625,102.19620513916016,-10.767395973205566,-5.4651079177856445,-5.131188869476318,-6.495540142059326,-2.49002742767334,5.621847152709961,-9.896992683410645,-9.32076358795166,-13.717737197875977,-13.039499282836914,-17.599884033203125,
-330.28778076171875,71.26873016357422,-3.3042123317718506,24.63663101196289,-6.697043418884277,-8.563797950744629,-11.961878776550293,0.04908430948853493,-6.615994930267334,1.0370036363601685,-6.780818462371826,-5.525290012359619,0.0,-8.425493240356445
-277.36102294921875,77.25247192382812,-25.236347198486328,4.707627773284912,-5.899057865142822,-6.255593299865723,-6.175631999969482,-22.338186264038086,-2.580721378326416,-4.439265251159668,-9.99470043182373,-6.842275142669678,1.0,0.1041129007935524
-338.9454650878906,125.9068603515625,-21.07706069946289,14.588033676147461,2.4083893299102783,-10.205320358276367,10.412063598632812,-10.616076469421387,-11.27974796295166,-7.839700698852539,-17.18190574645996,-1.6239262819290161,2.0,-2.0282554626464844
-287.82666015625,91.57978057861328,-3.9287803173065186,9.868581771850586,6.321660041809082,-10.193160057067871,-1.8798367977142334,-5.435560703277588,-13.447707176208496,2.4960949420928955,-10.708389282226562,-5.409635066986084,3.0,-10.376723289489746
-324.174560546875,128.18228149414062,-24.446426391601562,21.49921226501465,-8.174479484558105,-25.471542358398438,3.493744134902954,-21.47379493713379,-17.50777816772461,-8.150102615356445,-20.105140686035156,-4.134045124053955,4.0,-1.6861120462417603
-314.3899230957031,147.52032470703125,-30.563554763793945,9.152501106262207,-2.2468700408935547,-17.559598922729492,1.3059695959091187,-18.208730697631836,-17.037372589111328,-12.059240341186523,-12.92456340789795,-5.017927169799805,5.0,-10.223373413085938
-277.65728759765625,168.76280212402344,-38.57575225830078,42.5786018371582,6.952387809753418,-23.095195770263672,8.103927612304688,-23.676437377929688,-11.940649032592773,-3.2804481983184814,-19.42354393005371,-2.595724582672119,6.0,-6.683957099914551
-296.2687683105469,103.6917495727539,-2.6043832302093506,3.779949903488159,-10.139516830444336,-6.309548377990723,-0.6268283128738403,-26.920869827270508,-7.139608860015869,-19.912784576416016,-6.717271327972412,-10.738701820373535,7.0,-4.595378398895264
-273.0726318359375,104.78760528564453,-8.438834190368652,30.233196258544922,-5.228097438812256,-4.681881427764893,-1.4380812644958496,-7.980133533477783,-10.484704971313477,-14.871003150939941,-8.524218559265137,-8.974063873291016,8.0,-11.9210786819458
-231.556396484375,106.76498413085938,-0.6050422191619873,11.798861503601074,-4.444693088531494,-12.357904434204102,-5.847977638244629,-10.125490188598633,-17.324628829956055,-3.076484203338623,-18.08014488220215,-1.235541820526123,9.0,-5.772008419036865
-293.18609619140625,95.07743072509766,-0.28549906611442566,31.060569763183594,-6.928784370422363,-3.248563766479492,-0.4102550446987152,-8.01231861114502,-12.372215270996094,-13.057340621948242,-10.284378051757812,-10.053242683410645,10.0,-9.361837387084961
-245.44541931152344,109.1214370727539,-11.359148979187012,33.58155822753906,-7.90551233291626,-7.247426986694336,-2.957679510116577,-9.940855026245117,-10.13416576385498,-10.6149263381958,-11.591922760009766,-7.246312618255615,11.0,-14.3154878616333
-284.5750427246094,106.9429702758789,-1.031691074371338,20.3624267578125,-23.02400016784668,-7.565133571624756,-20.327795028686523,-17.822439193725586,-7.950954437255859,-10.424904823303223,-12.827669143676758,-1.6599071025848389,12.0,-5.3962273597717285
-290.60125732421875,111.91189575195312,-14.648155212402344,39.676719665527344,9.151535034179688,-7.762396335601807,2.925743341445923,-13.592079162597656,-9.528070449829102,-6.59853458404541,-9.216379165649414,0.6006199717521667,13.0,-8.659028053283691
-271.4472351074219,96.8904800415039,11.03540325164795,28.088525772094727,-10.494964599609375,3.723252296447754,-5.0790205001831055,-6.843826770782471,-12.280518531799316,-9.06904125213623,-7.400427341461182,-6.387818813323975,14.0,0.26386430859565735
-251.8356170654297,85.89137268066406,-5.961289882659912,3.0305840969085693,-17.093982696533203,-7.759714126586914,-12.66712760925293,-21.89076805114746,-17.65961456298828,-12.498978614807129,-14.086133003234863,-7.03220796585083,15.0,-9.166836738586426
-290.4800720214844,86.23289489746094,7.9499053955078125,24.205886840820312,1.3806711435317993,8.878830909729004,-0.7343092560768127,-7.767784595489502,-6.083774566650391,-9.102392196655273,-9.395258903503418,-5.8285017013549805,16.0,7.298376083374023
